R0001,A great place for Irish music great bar and full of great people  After the Irish band more modern music on a must go
R0001,Absolutely exceptional food and staff were very friendly and helpful  Lovely atmosphere will definitely be back
R0001,Cant remember pizza better than this anywhere in Dublin  Gorgeous  really authentic italian food  Great prices too 
R0001,Cocktails were very impressive and a perfect end to a seriously tasty meal  A very deserved 4 5 star rating 
R0001,Decent  clean  and fast  Food wasnt bad but maybe a bit under seasoned  Overall a good stop for a fast  cheap bite 
R0001,Excellent customer service  Our waitress was attentive  Delicious food  Ambience was perfect  Shows this place has great management 
R0001,Excellent Greek food  Great variety and plenty of options for a vegetarian  A welcome respite from all the heavy potato  and  bread laden Irish fare 
R0001,Fantastic meal and overall experience  Bar manager was outstanding 
R0001,"Food is fine  alcohol  wine  not great  Service is good and they will note allergies and provided gluten free bread for us 

Enjoyable and relaxing "
R0001,Great experience   super food and service 
R0001,Great food and the service was fantastic  Everyone was so friendly 
R0001,Had a lovely dinner last night  Service was efficient but not intrusive  Portion size just right  A pleasure  
R0001,"Hope  I""ll back there again  The best food in Dublin  Starters are very tasty and sreak was amazing  Desert was also very good  Good luck   "
R0001,"I have been here a few times with friends for drinks  As a bar to drink at  it is simply okay  Not the best but also not the worst  

 Recently my girlfriend received a gift voucher for a dinner here  Having never considered this a place for food we gave it a try  The dining experience didnt start out well when they mixed up our reservation thinking it was for the previous night  But since they had a table we were seated �They had a 8oz fillet listed for 26 50 on the nightly special menu and I decided to give it a try  I ordered it medium and I actually think that is what I received  but it was so bland and ugly it was hard to tell  The menu said it came with pepper sauce  which it didnt  When the waitress came by I asked for it  and she said it doesnt normally come with pepper sauce  okay  but it was on the menu so if you are a waiter or waitress you should be aware of what is on the menu at the restaurant you are working at  Unfortunately the pepper sauce didnt help it taste better  In fact it barely tasted like pepper sauce at all  instead it was like the cook took a bunch of the grease from the grill and mixed that with some peeper sauce flavoring into a little cup for me  �

To finish the night off  they messed up our desserts  which were the only good thing we ate BTW   messed up our bill  and throughout the meal my seat was continually bumped into and pushed by the staff because they have the tables so cramped together it is impossible to walk between them without needing to push them out of the way "
R0001,"I went there based on the online menu  It bore no resemblance to the menu on the night one person said it was the first night of the new menu  another said it was 3 years out of date  not a good reflection on � online app 
The staff tried to do their best  but we wont be going back "
R0001,Lovely food  staff and setting  This was a very pleasant surprise
R0001,Mediocre quality  came across as very tourist oriented rather than a neighborhood restaurant 
R0001,"Never again    

We went for lunch friday at 12 30 with the lads 
We ordered starter and Main course 
After 1 hour  we were not served 
1 hours 15 minutes    we left

We went back to work with an empty stomach"
R0001,"Not simple breakfast but beyond our expectations brunch   
Great coffee  lovely dishes  friendly staff and very cozy place "
R0001,Since I am a vegan  they specially got me a veg burger which was extremely kind of them  We finished the meal with ice cream cocktail which just sizzled our taste buds 
R0001,Slowest fast food on the planet 
R0001,Staff were very attentive  Had informed them of teenagers birthday and they made small sign for table to mark it  Lovely touch  Highly recommend for family celebration
R0001,Steaks were fab  Service was fab  Value fab  I typically tip 10 percent and for first time ever went 20 percent  This place deserved the extra  Nuf said 
R0001,The duck appetizer was amazing as well as the service and ambiance  I would definitely return  great find 
R0001,The food was good  I ordered online and was given a 25 min wait time  Service was prompt and polite  I have nothing to grumble about 
R0001,"The waitstaff excellent  The goat cheese salad  and  meat board   very good   My husband had the  lamb   I had the seafood capellini   The cook on the lamb was ok  but it lacked seasoning  The capellini was sticky  seafood cooked nicely  but not enough in proportion to pasta 

My cocktail  blood orange cosmopolitan tasted �watered � down   My husbands Old fashioned lacked in comparison to our previous versions of our favorites   

I wanted to really enjoy this experience  but the food didnt hold up to the previews that I read    Im sorry "
R0001,Very good meal  attentive wait staff  Couldnt have been happier 
R0001,"Very mixed Experience  

A group of friends from the US and some other countries were visiting Dublin for the weekend  and we booked a table for 10  We arrived at 8 pm and the restaurant seemed relatively quiet  Despite that  staff seemed thin on the ground and busy  we were over 30 minutes waiting with menus before our order was taken  and at that   it was only taken because we stopped a waiter to ask for them to take it  Drinks took an absolute age to arrive  we had to remind them several times  Another 90 minutes before the food actually arrived  in dribs and drabs  and some of the friends were really hungry and tired  and very jetlagged  when we arrived at 8  so it really wasnt ideal that we ended up eating so late as they had a flight to catch early the next day for the next part of their trip 

We were given a round of prosecco as an apology and some free desserts  which was a lovely gesture   and I understand these things happen sometimes  but to be honest we were embarrassed by the whole experience  given that we had recommended the place to our friends and I wouldnt be in a rush back any time soon "
R0001,Visit this place regularly  The food and service are always top quality  Great coffee  Nice atmosphere  Both locations are always very good 
